Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;;3C:5C:F1:3D:D8:E4;;1;No;WPA,None;No;-1.0;0;0;0;2;0;0;2;;;Mon Sep  1 20:48:54 2025;Mon Sep  1 20:50:57 2025;-76;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;;B4:20:46:88:9C:84;;1;No;WPA3,AES-CCM,SAE;No;360.0;0;97;0;0;0;0;0;;;Mon Sep  1 20:48:54 2025;Mon Sep  1 20:51:08 2025;-126;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;Casa32;B4:20:46:88:9C:86;;1;No;WPA2,AES-CCM;No;360.0;0;92;0;9;0;0;9;;;Mon Sep  1 20:48:54 2025;Mon Sep  1 20:51:08 2025;-125;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;;B4:20:46:88:9C:88;;1;No;OPN,None;No;360.0;0;90;0;0;0;0;0;;;Mon Sep  1 20:48:54 2025;Mon Sep  1 20:51:08 2025;-125;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;M&M_Guest;66:83:E7:07:85:4A;;2;No;WPA2,AES-CCM;No;360.0;0;35;0;0;0;0;0;;;Mon Sep  1 20:48:55 2025;Mon Sep  1 20:51:08 2025;-26;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;;6A:64:4A:BB:11:23;;5;No;OPN,None;No;360.0;0;107;0;0;0;0;0;;;Mon Sep  1 20:48:56 2025;Mon Sep  1 20:51:11 2025;-4;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;32_Burotto-Xiaomi;5C:02:14:B6:E8:8B;;5;No;WPA2,AES-CCM;No;360.0;0;119;0;7;0;0;7;;;Mon Sep  1 20:48:57 2025;Mon Sep  1 20:51:10 2025;-8;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;32_Burotto-Xiaomi;64:64:4A:BB:11:23;;5;No;WPA2,AES-CCM;No;360.0;0;89;0;0;0;0;0;;;Mon Sep  1 20:48:57 2025;Mon Sep  1 20:51:10 2025;-4;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;;62:02:14:B6:E8:8B;;5;No;OPN,None;No;360.0;0;126;0;0;0;0;0;;;Mon Sep  1 20:48:57 2025;Mon Sep  1 20:51:11 2025;-6;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;Dylan4g;44:1E:98:3E:F4:B8;;11;No;WPA2,AES-CCM;No;130.0;0;54;0;20;0;0;20;;;Mon Sep  1 20:48:57 2025;Mon Sep  1 20:51:10 2025;-25;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
11;infrastructure;Pbcasa;00:02:71:B9:18:67;;11;No;WPA2,AES-CCM;No;130.0;0;2;0;0;0;0;0;;;Mon Sep  1 20:48:57 2025;Mon Sep  1 20:49:01 2025;-31;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
12;infrastructure;M&M;60:83:E7:07:85:4A;;2;No;WPA2,AES-CCM;No;360.0;0;34;0;13;0;0;13;;;Mon Sep  1 20:48:59 2025;Mon Sep  1 20:51:08 2025;-81;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
13;infrastructure;;6E:83:E7:07:85:4A;;2;No;WPA2,AES-CCM;No;360.0;0;21;0;0;0;0;0;;;Mon Sep  1 20:48:59 2025;Mon Sep  1 20:50:40 2025;-19;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
14;infrastructure;CamEstacio;2C:5D:93:7C:2D:58;;7;No;WPA2,AES-CCM;No;130.0;0;1;0;57;0;0;57;;;Mon Sep  1 20:49:02 2025;Mon Sep  1 20:51:08 2025;-74;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
15;infrastructure;;12:59:32:BA:59:22;;1;No;WPA2,AES-CCM;No;65.0;0;7;0;0;0;0;0;;;Mon Sep  1 20:49:05 2025;Mon Sep  1 20:50:21 2025;-81;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
16;infrastructure;;6A:83:E7:07:85:4A;;2;No;WPA2,AES-CCM;No;360.0;0;25;0;23;0;0;23;;;Mon Sep  1 20:49:06 2025;Mon Sep  1 20:51:08 2025;-29;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
17;infrastructure;Dylan4g;44:1E:98:3E:F0:08;;6;No;WPA2,AES-CCM;No;130.0;0;10;0;0;0;0;0;;;Mon Sep  1 20:49:12 2025;Mon Sep  1 20:51:07 2025;-27;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
18;infrastructure;LEDnet0033556ADE;B4:E8:42:55:6A:DE;;6;No;OPN,None;No;65.0;0;28;0;0;0;0;0;;;Mon Sep  1 20:49:12 2025;Mon Sep  1 20:51:11 2025;-26;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
19;infrastructure;;54:3D:92:16:FB:38;;6;No;None;No;-1.0;0;0;0;0;0;0;0;;;Mon Sep  1 20:49:30 2025;Mon Sep  1 20:51:04 2025;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
20;infrastructure;;B4:20:46:B7:B9:C6;;1;No;WPA,None;No;-1.0;0;0;0;2;0;0;2;;;Mon Sep  1 20:49:34 2025;Mon Sep  1 20:50:14 2025;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
21;infrastructure;;B4:20:46:88:9C:8E;;-1;No;None;No;-1.0;0;0;0;0;0;0;0;;;Mon Sep  1 20:49:35 2025;Mon Sep  1 20:50:53 2025;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
22;infrastructure;;3C:5C:F1:3D:D8:EE;;-1;No;None;No;-1.0;0;0;0;0;0;0;0;;;Mon Sep  1 20:49:35 2025;Mon Sep  1 20:50:57 2025;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
